ym,parent,n_remits,applied
2025-01,OSCAR,484,1262187.48
2026-08,AHP_RX,41,28424.01
2026-01,CIGNA_FAC,1717,1553693.03
2026-09,CHRISTUS,9,11263.41
2024-08,PREMERA,60,0.0
2024-09,KaiserSTap,104,2042.3
2026-09,CENFIDELIS,22,189593.79
2026-01,AETNA_CHK,14,177.0
2026-05,BCBSSC,48,
2026-08,(no claim allocation),50,17521.12
2025-10,KaiserSTap,10,
2026-06,KaiserAmbS,6,
2026-05,BCBS_FACFG,6,
2025-05,GHI_RX,1,1976.73
2024-10,THP_PUBLIC,7,
2025-04,BSCA_FAC,1,
2026-07,HAP_RX,3,18166.44
2024-11,AETNA_CHK,5,-6741.56
2025-04,CENFIDELIS,144,12864.25
2025-05,(no claim allocation),1,
2025-08,BCBSSC,10,0.0
2026-08,CHRISTUS,24,6915.43
2025-11,MEDOH,25,68054.8
2025-11,WELLCARE,2,589.63
2024-08,KaiserSTap,58,
2026-07,AHP_RX,36,70730.53
2025-12,OSC_RX,19,16597.89
2025-04,HNENGLAND,2,231.52
2024-06,BCBSSC,17,
2026-02,OSCAR,560,690697.01
2024-12,EMBFAC_RX,1,3600.0
2026-05,KAISERNTAP,4,
2024-09,AEHMO_RX,1,109.86
2026-07,KAISERMTAP,3,
2025-02,BCBSFL,20,500.0
2025-02,EMBFAC_RX,4,1263.6
2025-02,GEHA,364,959388.97
2025-05,AHP_RX,18,4099.35
2024-12,CHRISTUS,15,13502.17
2025-11,KaiserAmbS,3,
2024-11,MEDICADEAN,4,18502.65
2024-10,AHRP,381,884991.05
2025-02,KAISERMTAP,13,
2025-05,KAISERMTAP,2,
2025-04,BCBSSC,6,26506.75
2024-09,OSCAR,409,1353915.34
2026-08,MMOH_RX,6,
2024-08,KaiserAmN2,8,0.0
2024-08,CEN_RX,2,1278.0
2025-04,BCBSNC,5,0.0
2026-05,HARVARDP,8,
2025-09,CEN_RX,13,63973.77
2025-08,AHRP_RX,14,23032.59
2026-06,BCBS_FACET,1,
2024-11,KAISERCO,2,
2024-12,KAISERMTAP,10,
2024-06,OSCAR,334,1815473.06
2026-03,CIGNA_POW,42,59950.48
2025-07,BCBSNCF_RX,1,2098.94
2026-02,HNA,125,289018.44
2025-11,CAREFIRST,53,232.66
2026-06,KAISER_PSC,6,
2025-12,AEHMO,1,
2025-04,HIP,1,
2025-04,AETNA_CHK,28,5970.31
2025-01,CIGNA_PRO,2297,2860739.64
2026-07,OSC_RX,7,8829.81
2025-10,HNA,111,259879.11
2024-07,MEDOH,28,2871.21
2025-05,KAISERNTAP,17,
2026-05,AETNA_CHK,2,629.06
2026-04,MEDOH,32,2933.28
2024-10,OSCAR,405,2225259.62
2025-06,GEHA,228,464891.28
2025-09,MEDOH,8,11197.08
2026-04,GEHA,332,495658.03
2025-11,GEHA,187,490800.99
2026-07,AETNA_CHK,5,1281.81
2025-03,KAISER_WA,4,
2024-09,KAISERNTAP,18,
2025-04,AHP_RX,11,21513.99
2025-08,OSCAR,499,1169230.73
2025-12,THP_MEDPRF,8,397.69
2025-02,HNENGLAND,2,1037.62
2024-12,KaiserHI,2,
2025-06,AHRP_RX,16,17302.99
2025-05,CEN,1362,1610185.18
2024-07,KaiserAmbS,21,
2026-03,HNA_RX,4,25769.4
2025-04,OSCAR,686,966572.01
2026-08,AHRP,214,178209.89
2026-04,CIGNA_FAC,1756,1923734.94
2026-07,KaiserAmM2,1,
2024-09,KAISERCO,2,
2024-09,PREMERA,18,
2025-12,KAISERNTAP,5,
2025-07,BCBSNC,18,
2025-02,THP_MEDPRF,111,79443.43
2024-06,KAISERAMCO,2,
2024-10,(no claim allocation),162,125.28
2024-10,KAISERAMGA,1,
2025-02,CHRISTUS,18,3316.04
2024-09,BCBSSC,26,
2026-06,CAREFIRST,177,1689.28
2026-08,KAISERAMCO,1,
2025-06,KaiserSTap,29,
2025-02,CENFIDELIS,93,6597.95
2026-02,AHRP_RX,13,7489.24
2025-04,THP_MEDPRF,20,556.35
2026-05,CIGNA_PRO,2888,2091273.36
2025-04,THP,1,2935.36
2026-07,CEN,1228,793789.73
2025-01,EMBLEM_FAC,409,201091.55
2026-03,CEN_RX,19,8026.52
2026-07,CENFIDELIS,57,85914.38
2025-11,AHP,2025,581073.64
2026-05,CIGNA_FAC,1821,1061455.73
2025-01,BCBSSC,28,
2026-01,KAISERGA,1,
2025-02,GHI_RX,2,1327.06
2026-05,HNA,130,128777.58
2026-08,HNA_RX,1,
2024-08,KaiserAmbS,23,
2025-01,KaiserSTap,116,205.32
2025-04,CEN,1413,2088361.63
2024-10,MEDICA,251,387189.08
2026-04,PREMERA,11,
2025-03,EMBLEM_FAC,260,305667.49
2025-05,EMBLEM_FAC,316,520059.86
2025-09,BCBSNCF_RX,1,2731.99
2024-12,MEDICA,153,250167.1
2026-05,BCBS_FACET,13,
2026-05,KAISERNW,4,
2026-07,BCBSNC,28,
2024-10,CHRISTUS,37,11632.6
2026-01,HNA,108,387039.7
2024-12,BCBSKS,40,
2025-04,KAISERMTAP,9,
2025-12,MEDICADEAN,9,6633.94
2024-09,CIGNA_PRO,1810,3761766.87
2026-03,BCBSFL,27,
2026-07,CHRISTUS,15,79447.31
2026-07,AEHMO_RX,1,
2024-07,GEHA,350,822818.4
2024-10,GEHA,442,882328.43
2025-06,HNA_RX,1,
2024-06,GEHA,323,989996.95
2024-07,AHRP,441,515002.65
2026-02,AHP,1947,1917659.11
2024-12,AEHMO,6,7036.45
2026-06,KaiserAmN2,6,
2024-06,THP,4,-1407.93
2024-11,KaiserAmbS,9,
2025-11,KAISER_PNC,2,
2026-08,AEHMO,1,
2024-08,BCBSSC,46,
2024-09,BCBSNC,6,
2025-09,AHP,2557,700695.49
2025-08,KAISERNW,3,
2026-08,GEHA,281,560450.3
2025-01,CIGNA_FAC,1324,1372102.65
2024-12,BCBSNC,10,9544.71
2025-05,KaiserAmM2,2,
2025-03,KaiserSTap,55,
2025-09,HNA,155,325672.59
2025-06,CAREFIRST,51,17539.08
2025-08,BCBSNCF_RX,1,
2024-08,AETNA_CHK,5,
2024-10,KAISERAMCO,1,
2024-10,THP,3,
2024-12,MEDICADEAN,6,9180.3
2024-12,GEHA,502,1232488.88
2025-03,OSCAR,663,1778387.35
2025-04,(no claim allocation),1,
2026-07,BCBSSC,3,
2025-12,KAISERNW,3,
2026-04,HIP_RX,3,5996.6
2025-04,KaiserHI,1,
2025-05,THP_MEDPRF,16,17818.8
2026-04,AHP,2484,771866.15
2025-10,CIGNA_POW,22,16428.2
2025-03,KAISERAMNW,1,
2025-08,AETNA_CHK,12,7308.03
2024-06,EMBFAC_RX,1,
2026-01,KaiserAmbS,3,
2025-03,MEDICA,89,899032.75
2024-11,HSS_RX,3,3978.37
2025-03,BCBSSC,37,
2026-04,HNA,98,52943.68
2025-09,KAISER_PNC,2,
2024-10,KAISERMTAP,11,
2025-08,PREMERA,10,
2025-03,GHI,1,1891.97
2025-07,KAISERAMNW,2,
2025-07,GHI,2,
2026-07,OSCAR,590,3045372.65
2025-10,AHRP_RX,31,19838.0
2026-01,KAISER_PNC,4,7654.89
2025-05,BCBSVT,5,
2024-06,HAP_RX,4,25186.95
2026-06,CEN_RX,20,8634.45
2026-04,KAISER_PNC,1,
2025-09,KaiserAmN2,6,
2024-10,THP_MEDPRF,17,34673.09
2025-08,KaiserAmN2,2,
2025-05,KaiserAmbS,4,
2025-01,KAISERNTAP,38,
2024-12,HNENGLAND,2,1341.66
2024-10,BCBSKS,7,
2025-01,AHRP_RX,18,96160.41
2026-08,CENFIDELIS,41,107927.57
2025-07,MEDICA,57,295311.59
2024-08,HNA,179,591756.71
2026-05,BCBSNC,7,
2024-06,AEHMO_RX,1,
2026-09,AHRP,62,88979.54
2026-09,HNA,38,300546.38
2024-08,KAISERNW,5,1550.0
2026-08,THP,1,11167.0
2026-04,CEN_RX,53,6573.8
2026-08,HSS_RX,3,4448.84
2025-08,HNA,139,373537.03
2024-08,MEDOH,35,263.75
2024-12,AEHMO_RX,2,8787.87
2024-12,OSCAR,534,1309696.86
2025-01,MEDICA,164,123211.71
2025-07,AHP,2556,799132.26
2024-10,MEDICADEAN,11,1865.97
2026-02,AETNA_CHK,17,6419.24
2026-01,CEN_RX,21,6727.67
2024-06,GHI_RX,3,3345.18
2024-08,BCBSNC,5,
2024-09,MEDICA,255,647963.22
2025-01,KaiserAmbS,16,
2024-11,MEDICA,120,142882.94
2026-06,KaiserAmM2,2,
2026-01,HSS_RX,2,2462.1
2024-11,EMBLEM_FAC,385,568071.49
2025-02,AEHMO,1,
2026-02,CIGNA_POW,15,97799.56
2026-05,AHRP_RX,47,15884.53
2025-04,MEDICADEAN,12,9389.6
2026-01,BCBSNC,72,-68552.4
2026-05,PREMERA,17,
2025-11,HIP_RX,3,16900.24
2026-04,WELLCARE,2,140.72
2024-10,AEHMO,8,12217.19
2025-06,CEN_RX,7,159417.55
2024-07,AHRP_RX,32,43299.38
2025-11,KAISER_PSC,1,
2026-03,CENFIDELIS,57,6621.56
2026-04,KAISERGA,1,
2025-03,MEDOH,16,254950.86
2026-07,KAISERCO,1,
2025-10,CIGNA_FAC,1750,1962413.51
2024-11,BCBSFL,2,
2024-11,AHP,2119,781804.74
2026-08,KAISERMTAP,1,
2026-08,BCBSFL,20,
2026-06,KAISER_PNC,5,
2025-10,WELLCARE,1,356.09
2026-05,KAISERGA,4,
2025-11,HARVARDP,14,
2024-12,THP_MEDPRF,14,23621.87
2024-07,BCBSFL,17,0.0
2025-06,CENFIDELIS,61,15633.02
2026-06,AETNA_CHK,3,
2026-08,HNENGLAND,3,350.17
2024-06,BCBSKS,45,
2026-06,CIGNA_POW,36,30492.33
2026-06,BCBSNC,5,
2025-02,AHRP,319,442231.02
2025-09,AHRP_RX,24,16475.99
2025-05,BCBSNC_RX,2,4523.62
2026-06,KAISERNW,3,
2024-07,CAREFIRST,85,49151.76
2024-06,KAISERMTAP,1,
2024-11,KAISERNTAP,35,
2025-03,CIGNA_POW,49,63358.56
2025-12,BCBSFL,4,
2025-03,HIP_RX,6,28139.03
2025-01,CIGNA_POW,50,27838.37
2025-03,BCBSNC,8,
2025-06,MEDOH,7,
2024-06,THP_MEDPRF,21,19841.23
2024-06,(no claim allocation),4,
2026-06,HARVARDP,37,
2026-04,BCBSVT,4,
2025-02,(no claim allocation),3,
2025-11,KaiserSTap,18,7681.07
2026-03,KAISERAMHI,1,
2025-10,BCBSNC,14,
2025-07,CIGNA_PRO,2997,3455603.47
2025-10,KAISERNW,1,
2026-09,AHP_RX,10,16257.4
2025-06,AHP_RX,26,-2295.66
2026-06,HNA,111,186838.03
2025-12,AHRP_RX,38,11767.18
2026-06,MEDOH,11,4682.57
2026-05,KAISER_PNC,4,
2024-10,AHRP_RX,24,36027.33
2025-11,HAP_RX,2,1058.47
2026-04,CAREFIRST,90,
2025-07,PREMERA,6,
2026-02,CAREFIRST,94,0.0
2025-10,BCBSVT,1,
2025-01,BCBSNC,5,3129.82
2026-06,AHRP_RX,35,68358.18
2025-07,CIGNA_FAC,1890,1820980.74
2024-06,KAISERCO,2,
2026-09,MEDICADEAN,9,1792.4
2025-06,OSC_RX,6,7674.87
2026-03,KAISERGA,2,
2024-06,AHRP,340,284895.71
2025-10,AETNA_CHK,7,248.77
2025-08,AHP,2596,605134.59
2026-09,BCBSFL,21,
2026-07,(no claim allocation),27,4528.84
2026-04,THP_PUBLIC,1,
2024-06,CIGNA_FAC,1248,2059288.67
2026-06,BCBS_DC,1,
2024-07,HNA,153,505066.26
2025-01,BCBSNCF_RX,2,
2026-04,KaiserSTap,6,
2026-02,BSCA_FAC,33,-106600.09
2025-07,AHRP_RX,18,8806.33
2024-11,OSCAR,436,828177.84
2025-09,KaiserSTap,14,
2026-03,KAISERMTAP,8,
2026-03,(no claim allocation),43,-13641.54
2025-11,HNA,71,661702.66
2024-10,CTCARE,1,
2025-02,HSS_RX,2,2468.5
2026-05,CEN_RX,54,48930.51
2026-09,KaiserSTap,17,
2024-09,KaiserAmN2,11,
2025-10,BCBSNCF_RX,1,
2025-08,BCBSNC,13,
2026-05,WELLCARE,5,2118.09
2025-12,CIGNA_PRO,2423,3251561.92
2024-06,CTCARE,1,52521.09
2026-03,GEHA,385,462286.8
2025-09,WELLCARE,1,3148.81
2025-03,AHRP_RX,14,-2462.95
2024-11,KAISERAMCO,2,
2026-02,CIGNA_PRO,2671,2297409.46
2026-05,HIP_RX,2,6016.96
2026-05,AHP,2422,586234.61
2026-04,KaiserAmN2,2,
2026-03,WELLCARE,10,3192.38
2025-02,CTCARE,1,51.04
2025-08,CEN_RX,5,4383.06
2024-07,CEN_RX,2,
2025-07,BCBSVT,3,
2024-07,KaiserSTap,43,
2025-08,CIGNA_POW,37,103866.38
2026-07,MEDICADEAN,3,585.85
2026-08,THP_MEDPRF,2,277.4
2026-01,MEDOH,14,2372.0
2024-12,EMBLEM_FAC,275,510933.62
2026-01,CENFIDELIS,89,3010.06
2025-06,HIP_RX,2,29678.4
2024-08,EMBFAC_RX,1,1422.65
2024-10,KAISERNTAP,35,
2025-02,MEDICADEAN,6,14105.44
2025-07,CIGNA_POW,69,65742.17
2025-10,MEDOH,21,3371.28
2025-01,MEDOH,27,
2026-06,AHP,1942,1651397.73
2025-07,BCBSSC,10,
2024-12,AHRP,338,332322.34
2025-09,HNENGLAND,4,6399.54
2026-03,HNA,131,238997.45
2024-08,KAISERGA,1,
2025-07,AETNA_CHK,19,11316.26
2026-07,GEHA,285,508012.26
2025-08,AHRP,272,394178.8
2025-05,OSCAR,637,1498153.22
2025-01,AETNA_CHK,4,5003.03
2025-09,CAREFIRST,99,24456.02
2026-03,KaiserAmN2,2,
2024-08,CIGNA_PRO,1997,3237557.33
2024-12,KAISERNTAP,28,
2025-07,MEDOH,3,6867.76
2026-07,KAISERNTAP,1,
2026-09,CEN,554,266601.94
2025-01,HSS_RX,5,12895.13
2026-02,KaiserAmN2,5,
2024-09,KaiserAmbS,10,
2024-08,AHP,3123,685557.25
2026-01,HARVARDP,17,
2026-08,BCBSKS,11,
2024-07,MEDICA,243,868374.01
2025-11,KaiserAmN2,5,
2025-06,HNA,159,747179.8
2025-02,EMBLEM_FAC,278,458207.38
2025-03,CAREFIRST,134,2710.37
2025-03,AHP,2641,1715884.68
2025-12,KaiserAmbS,4,
2025-10,CEN_RX,24,96917.27
2026-05,CEN,1210,1537466.14
2026-06,KAISERAMHI,1,
2025-09,ASH,1,
2025-07,CAREFIRST,82,36199.42
2025-10,CIGNA_PRO,2832,3686774.36
2025-12,HARVARDP,32,
2025-05,CIGNA_PRO,2971,2965909.95
2025-06,AHP,2293,1136745.12
2026-03,HARVARDP,39,
2024-11,GHI,3,333.0
2025-11,KAISERMTAP,4,
2025-03,CIGNA_PRO,3119,4010148.46
2024-10,CIGNA_POW,36,90133.14
2025-08,WELLCARE,6,
2026-01,CAREFIRST,166,0.0
2025-04,EMBLEM_FAC,454,607226.6
2025-06,KaiserAmN2,5,
2025-08,BCBSVT,7,
2025-08,CIGNA_PRO,2616,2975472.31
2025-02,BCBSKS,4,
2025-02,KAISERNTAP,24,
2026-06,BCBS_NASCO,1,
2025-08,CIGNA_FAC,1529,1397746.84
2026-09,KAISER_PSC,3,
2025-07,CENFIDELIS,71,9222.79
2024-08,HSS_RX,3,2539.09
2026-02,CEN_RX,8,4374.19
2026-02,MEDOH,7,16145.83
2026-06,CIGNA_PRO,2786,2024933.14
2025-03,KaiserAmN2,8,
2026-02,MEDICA,59,277714.81
2026-02,BCBSSC,31,
2025-10,AHP,2235,1311217.39
2025-12,HNA,124,635521.99
2025-11,AHP_RX,23,94799.59
2026-05,CIGNA_POW,34,29536.49
2025-03,PREMERA,11,
2025-05,MEDICA,88,137985.05
2026-01,CIGNA_PRO,2357,2878948.87
2024-12,PREMERA,49,
2024-06,KaiserSTap,69,
2025-06,BCBSVT,9,
2024-09,CIGNA_POW,24,130524.22
2026-07,EMBLEM_FAC,252,495458.14
2025-10,CEN,1452,1211238.37
2024-11,KaiserAmN2,11,
2024-07,HAP_RX,4,10553.4
2024-09,BCBSNCF_RX,1,1302.0
2026-02,CIGNA_FAC,1573,1548220.89
2025-09,CHRISTUS,13,22431.74
2026-03,CAREFIRST,66,420.22
2026-08,OSC_RX,10,53641.22
2025-01,KaiserAmN2,16,
2025-12,PREMERA,15,
2025-09,MEDICA,133,1994029.01
2024-07,OSC_RX,2,1166.38
2025-08,CAREFIRST,21,420.0
2025-12,CEN,1130,1255135.18
2024-07,THP_MEDPRF,15,22981.6
2024-09,GEHA,397,948560.72
2026-04,AHP_RX,32,101587.59
2026-06,CIGNA_FAC,1654,1740382.64
2025-03,AETNA_CHK,9,13197.77
2024-06,KAISERNTAP,39,
2026-06,KAISERGA,1,
2026-05,MEDOH,37,21534.2
2025-04,CIGNA_PRO,3348,3352317.01
2024-11,CAREFIRST,76,3098.95
2026-03,KAISER_PSC,6,67099.6
2024-07,KaiserAmN2,13,
2026-06,AHP_RX,26,11943.28
2026-06,MMOH_RX,4,
2026-03,HSS_RX,6,12637.86
2026-09,BCBS_DC,12,
2025-11,CHRISTUS,13,19493.54
2025-11,MEDICA,78,472557.35
2024-09,KAISERGA,2,
2025-08,CEN,1089,1332222.2
2025-06,BCBSKS,6,
2026-06,BCBSFL,2,
2026-04,MEDICA,92,223832.54
2024-11,KAISERNW,1,
2024-12,AHRP_RX,21,14265.59
2025-02,KaiserSTap,44,
2024-12,CIGNA_POW,56,56135.58
2024-08,OSC_RX,3,75758.01
2026-05,CAREFIRST,423,19060.07
2026-04,HARVARDP,30,
2026-01,AHP,1984,844694.85
2025-06,GHI_RX,1,
2026-02,CEN,888,1099495.45
2025-11,BSCA_FAC,23,-63619.34
2025-01,GHI,4,1999.0
2026-03,MEDOH,15,68243.88
2026-08,KaiserSTap,16,
2025-01,GEHA,383,669919.93
2024-07,KAISERMTAP,13,
2025-06,BCBSNC,19,-221791.97
2025-03,CIGNA_FAC,1649,1944015.76
2024-07,KAISERAMGA,1,
2026-01,THP_PUBLIC,8,-47003.27
2026-04,HSS_RX,3,3376.42
2026-08,KAISERCO,1,
2026-07,KAISER_PSC,8,
2024-06,BCBSNC_RX,1,
2025-02,OSCAR,486,1613713.96
2026-01,WELLCARE,8,4215.97
2024-07,EMBFAC_RX,1,7419.65
2026-08,EMBLEM_FAC,164,475472.36
2025-04,KaiserAmbS,16,
2026-06,HAP_RX,9,25254.79
2025-04,PREMERA,1,
2025-09,OSC_RX,5,5492.07
2024-09,MEDOH,51,128364.44
2026-01,CEN,948,689138.1
2026-03,HNENGLAND,5,7961.59
2024-09,AHRP_RX,23,156368.95
2026-08,KaiserAmbS,4,3274.02
2024-08,AHRP,394,743993.34
2026-08,CIGNA_FAC,1764,1936192.49
2025-04,KAISERNTAP,27,
2025-07,CEN_RX,15,40491.09
2026-09,(no claim allocation),87,13526.64
2024-07,BCBSNC,7,
2026-07,BCBSFL,19,
2024-07,GHI_RX,2,6336.99
2024-11,AHRP,451,272788.12
2025-04,KAISERNW,2,
2025-11,CEN_RX,24,187678.56
2024-07,HIP_RX,3,7022.87
2026-05,CHRISTUS,7,4650.04
2024-08,CENFIDELIS,80,9649.03
2025-06,JOHNSHOP,4,
2024-07,AEHMO,21,28170.07
2025-09,CEN,1183,4558564.09
2024-11,MEDOH,6,
2025-01,PREMERA,30,
2025-12,EMBLEM_FAC,200,72932.8
2025-02,PREMERA,17,
2025-04,GHI,10,0.0
2025-05,CIGNA_FAC,1746,1776961.55
2025-01,AHRP,349,144684.86
2025-12,CHRISTUS,16,55106.76
2025-09,BCBSSC,77,6172.28
2024-09,GHI_RX,5,7213.58
2025-09,GHI_RX,1,
2024-06,KaiserAmbS,18,
2024-07,ASH,1,
2025-01,KAISERGA,1,
2026-01,AHP_RX,17,12837.51
2026-05,HAP_RX,2,9493.5
2026-04,GHI_RX,2,3831.56
2024-09,HNA,104,410968.92
2025-01,AHP,2318,43400.12
2024-10,BCBSFL,18,
2025-06,THP,1,
2024-12,CEN_RX,2,45104.44
2025-04,AHRP,297,220482.02
2025-08,CHRISTUS,12,5730.77
2025-03,HNA,178,209880.18
2025-12,AHP,2473,-306130.61
2026-02,CENFIDELIS,66,3424.46
2024-11,CEN_RX,1,
2026-09,OSCAR,204,247453.39
2026-01,BCBSSC,28,
2025-06,KAISERMTAP,3,
2026-04,THP,2,
2025-09,THP,1,
2024-08,HNA_RX,1,
2025-03,BCBSFL,32,10460.77
2024-08,HAP_RX,1,
2024-08,GEHA,350,1034374.55
2026-08,KAISERNTAP,4,
2024-07,HSS_RX,2,2564.93
2024-07,CEN,1084,1652727.22
2025-10,AHRP,295,599600.5
2025-03,CEN_RX,5,4806.4
2025-07,HNA_RX,1,15819.47
2026-08,AHRP_RX,57,40399.64
2026-02,PREMERA,6,
2025-10,KAISER_PNC,4,
2026-03,OSC_RX,8,18141.78
2025-03,THP_PUBLIC,2,
2026-05,HSS_RX,2,
2024-09,CENFIDELIS,94,49515.43
2024-11,HIP_RX,8,31357.55
2025-04,AHRP_RX,10,3598.27
2024-07,OSCAR,584,1190820.13
2025-12,GHI_RX,1,85222.11
2026-06,GEHA,266,599886.51
2025-12,KAISERGA,1,703.63
2026-05,GHI_RX,2,3831.56
2024-08,THP_MEDPRF,19,7024.36
2026-09,OSC_RX,3,2472.0
2026-09,EMBLEM_FAC,82,36241.68
